files_A,files_B,overlap,overlap_ratio,total_changed_lines_A,total_changed_lines_B,total_overlap_ranges,total_overlap_lines,same_file_line_overlap_ratio,max_file_overlap,same_file_churn,churn,conflict
0,1,0,0.0,0,2,0,0,0.0,0,0,1.0986122886681098,0
0,1,0,0.0,0,14,0,0,0.0,0,0,2.70805020110221,0
0,1,0,0.0,0,50,0,0,0.0,0,0,3.9318256327243257,0
9,3,1,0.09090909090909091,166,48,1,3,0.014018691588785047,3,3,5.3706380281276624,0
0,70,0,0.0,0,2553,0,0,0.0,0,0,7.845416036592485,0
0,8,0,0.0,0,123,0,0,0.0,0,0,4.820281565605037,0
8,42,3,0.06382978723404255,123,1747,2,25,0.013368983957219251,18,14,7.534228326274089,0
0,124,0,0.0,0,5705,0,0,0.0,0,0,8.649273531773446,0
0,28,0,0.0,0,750,0,0,0.0,0,0,6.621405651764134,0
28,1,1,0.03571428571428571,752,5,1,12,0.015852047556142668,12,2,6.630683385642372,1
108,1,1,0.009259259259259259,4923,5,0,0,0.0,0,2,8.502891406705377,0
0,108,0,0.0,0,4923,0,0,0.0,0,0,8.501876487304344,0
0,13,0,0.0,0,300,0,0,0.0,0,0,5.707110264748875,0
17,19,17,0.8947368421052632,774,813,40,768,0.4839319470699433,263,81,7.370230641807081,0
0,108,0,0.0,0,5481,0,0,0.0,0,0,8.60922527686273,0
0,26,0,0.0,0,787,0,0,0.0,0,0,6.669498089857879,0
25,24,24,0.96,624,602,35,654,0.533442088091354,73,70,7.112327444710911,0
103,1,1,0.009708737864077669,4714,4,1,8,0.001695633743111488,8,4,8.459352191726387,1
1,6,0,0.0,9,123,0,0,0.0,0,0,4.890349128221754,0
0,2,0,0.0,0,6,0,0,0.0,0,0,1.9459101490553132,0
142,162,137,0.8203592814371258,5725,7908,261,6746,0.49482872441868997,307,601,9.52032195192273,1
0,19,0,0.0,0,280,0,0,0.0,0,0,5.638354669333745,0
22,76,14,0.16666666666666666,352,2971,17,140,0.04213060487511285,26,76,8.10892415597534,1
0,4,0,0.0,0,384,0,0,0.0,0,0,5.953243334287785,0
133,0,0,0.0,5433,0,0,0,0.0,0,0,8.600430789986293,0
0,7,0,0.0,0,248,0,0,0.0,0,0,5.517452896464707,0
8,5,2,0.18181818181818182,252,136,3,13,0.03350515463917526,7,11,5.963579343618446,0
