files_A,files_B,overlap,overlap_ratio,total_changed_lines_A,total_changed_lines_B,total_overlap_ranges,total_overlap_lines,same_file_line_overlap_ratio,max_file_overlap,same_file_churn,churn,conflict
0,196,0,0.0,0,18166,0,0,0.0,0,0,9.807362040438745,0
195,1,1,0.005128205128205128,18243,159,7,153,0.008314313661558527,95,10,9.820268973785195,1
89,89,89,1.0,6070,6070,322,7128,0.5871499176276771,716,644,9.404343433543975,0
0,7,0,0.0,0,217,0,0,0.0,0,0,5.384495062789089,0
0,195,0,0.0,0,16671,0,0,0.0,0,0,9.721485944553093,0
186,1,1,0.005376344086021506,15060,5,2,15,0.0009956853634251576,9,6,9.62019582838564,1
0,2,0,0.0,0,263,0,0,0.0,0,0,5.575949103146316,0
2,2,0,0.0,263,108,0,0,0.0,0,0,5.918893854273146,0
2,2,0,0.0,263,62,0,0,0.0,0,0,5.786897381366708,0
0,2,0,0.0,0,62,0,0,0.0,0,0,4.143134726391533,0
2,2,0,0.0,62,57,0,0,0.0,0,0,4.787491742782046,0
2,14,0,0.0,62,616,0,0,0.0,0,0,6.520621127558696,0
0,1,0,0.0,0,40,0,0,0.0,0,0,3.713572066704308,0
0,6,0,0.0,0,234,0,0,0.0,0,0,5.459585514144159,0
1,7,0,0.0,2,207,0,0,0.0,0,0,5.3471075307174685,0
4,7,0,0.0,226,207,0,0,0.0,0,0,6.073044534100405,0
0,1,0,0.0,0,21,0,0,0.0,0,0,3.091042453358316,0
2,7,0,0.0,58,76,0,0,0.0,0,0,4.90527477843843,0
0,1,0,0.0,0,2,0,0,0.0,0,0,1.0986122886681098,0
10,2,0,0.0,890,56,0,0,0.0,0,0,6.853299093186078,0
78,2,0,0.0,3777,6,0,0,0.0,0,0,8.238536930171769,0
43,1,0,0.0,1623,7,0,0,0.0,0,0,7.396948602621014,0
39,1,0,0.0,1520,9,0,0,0.0,0,0,7.333023014386481,0
0,1,0,0.0,0,2,0,0,0.0,0,0,1.0986122886681098,0
8,1,0,0.0,234,8,0,0,0.0,0,0,5.493061443340548,0
1,1,0,0.0,14,4,0,0,0.0,0,0,2.9444389791664403,0
1,1,1,1.0,4,10,0,0,0.0,0,3,2.70805020110221,0
0,1,0,0.0,0,4,0,0,0.0,0,0,1.6094379124341003,0
0,2,0,0.0,0,72,0,0,0.0,0,0,4.290459441148391,0
2,7,0,0.0,72,298,0,0,0.0,0,0,5.916202062607435,0
0,2,0,0.0,0,138,0,0,0.0,0,0,4.9344739331306915,0
25,1,0,0.0,570,4,0,0,0.0,0,0,6.354370040797351,0
3,1,0,0.0,154,2,0,0,0.0,0,0,5.056245805348308,0
1,18,1,0.05555555555555555,7,440,1,7,0.015659955257270694,7,6,6.104793232414985,1
58,1,1,0.017241379310344827,2581,6,1,5,0.001932740626207963,5,2,7.858640655620791,0
5,1,0,0.0,78,7,0,0,0.0,0,0,4.454347296253507,0
